Grapheme	anterior	approximant	back	click	cons	constricted	continuant	coronal	distributed	dorsal	front	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
a	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
aː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
a˞	+	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ã	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ãː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ă	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	-	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ḁ	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	-
a̯	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	-	+	+
b	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bv	+	-	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	+
bʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʰː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʱ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʱː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	+	0	0	0	+
bʲ	-	0	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bʷ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	-	0	0	0	0	+
bʷː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	-	0	0	0	0	+
bː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bˠ	0	0	+	0	+	0	-	0	0	+	0	+	+	+	0	0	-	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bˤː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	+	+	0	0	0	-	0	-	0	0	0	0	+
b̥	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	-
b̥ʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	-
b̪	+	0	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
bβ	0	-	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	+
bⁿ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	+	0	+	0	0	0	-	0	-	0	0	0	0	+
c	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	-	0	0	-
cç	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	0
cçʰ	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	+	0	0	0
cʰ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	-	0	0	-
cʼ	-	0	0	0	+	+	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
cː	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
ç	-	-	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	-	0	0	-
d	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dz	+	-	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	+
dzː	+	-	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	0	+
dz̪	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dz̪ː	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dð	+	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	+
dɮ	+	-	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	+
dʑ	0	-	-	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dʑː	0	-	-	0	+	0	-	0	0	+	0	+	0	+	0	+	-	0	0	+	0	0	0	0	+	-	0	+	0	+	+
dʒ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dʒʱ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	+	+	0	0	+
dʒʲ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dʒʷ	0	-	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	+	+	-	0	+	0	0	+
dʰ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʰː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʱ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʱː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
dʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
dːʒ	0	-	0	0	+	0	-	0	0	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	+	-	0	+	0	0	+
dˤ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	-	0	0	0	0	+
d̠	0	0	0	0	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	+
d̥	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	-
d̥ⁿ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
d̪	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
d̪ɮ	+	-	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	+
d̪ʱ	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	+	+
d̪ʱː	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	+	+
d̪ʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
d̪ː	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
d̪ˠ	+	0	+	0	+	0	-	+	+	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	+	+
d̪ˤ	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	-	0	0	0	+	+
d̪̥ⁿ	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	+	-
d̪ⁿ	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	+	+
d̼	+	0	0	0	+	0	-	+	-	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
dⁿ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	+
e	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
eː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ẽ	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ẽː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ĕ	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	-	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
e̤	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	+	0	+	+	+
e̥	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	-
e̯	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	-	+	+
f	+	0	0	0	+	0	+	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
fʰ	+	0	0	0	+	0	+	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	0
fʲ	-	0	0	0	+	0	+	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
fʷː	+	0	0	0	+	0	+	+	+	0	0	0	+	0	0	+	0	0	0	+	0	0	0	+	0	-	0	0	0	0	0
fʼ	+	0	0	0	+	+	+	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
fː	+	0	0	0	+	0	+	+	+	0	0	0	+	0	0	+	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
fˠ	+	0	+	0	+	0	+	+	+	+	0	+	+	0	0	0	-	0	0	+	0	0	0	-	0	-	0	0	0	0	0
g	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	+
gǀ	+	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	+	+
gǁ	0	-	0	+	+	0	-	0	0	0	0	0	0	+	+	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	+
gǂ	-	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	+
gǃ	+	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	+
gǃǃ	-	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	+
gɣ	0	-	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	+
gʘ	0	-	0	+	+	0	-	0	0	0	0	0	+	+	0	0	0	-	0	+	0	0	0	-	0	-	0	0	0	0	+
gʰ	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	+	0	0	0	+
gʱ	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	+	0	0	0	+
gʲ	-	0	+	0	+	0	-	+	+	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	+
gʷ	0	0	+	0	+	0	-	0	0	+	0	+	+	+	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	+
gː	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	+	-	0	0	+	0	0	0	0	0	-	0	0	0	0	+
g̊	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	-
g̊ʰ	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	+	0	0	0	-
h	0	0	0	0	-	-	+	0	0	0	0	0	0	+	-	0	0	-	0	0	0	0	0	0	0	-	+	0	0	0	0
h̃	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	-	0	0	0	0	0
i	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
iː	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ĩ	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ĩː	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	+	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
i̤	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	0	0	0	0	+	0	0	0	0	0	+	+	0	+	+	+
i̥	-	+	0	0	-	0	+	0	0	+	+	+	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	-
j	-	0	0	0	-	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
jː	-	0	0	0	-	0	+	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
j̃	-	0	0	0	-	0	+	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	0	0	+
j̊	-	0	0	0	-	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	-
k	0	0	+	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
kx	0	-	+	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	0
kʰ	0	0	+	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	+	0	0	0	0
kʲ	-	0	+	0	+	0	-	+	+	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
kʷ	0	0	+	0	+	0	-	0	0	+	0	+	+	0	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
kʷʰ	0	0	+	0	+	0	-	0	0	+	0	+	+	0	0	0	-	0	0	+	0	0	0	+	0	-	+	0	0	0	0
kʷː	0	0	+	0	+	0	-	0	0	+	0	+	+	0	0	+	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
kʼ	0	0	+	0	+	+	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
kʼʷ	0	0	+	0	+	+	-	0	0	+	0	+	+	0	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
kː	0	0	+	0	+	0	-	0	0	+	0	+	0	0	0	+	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
k̬	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	+
k	0	-	+	0	+	0	-	0	0	+	0	+	0	0	+	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	0
kʼ	0	-	+	0	+	+	-	0	0	+	0	+	0	0	+	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	0
l	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
lʱ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	+	0	0	0	+
lʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
lː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
lˠ	+	0	+	0	+	0	-	+	-	+	0	+	0	+	+	0	-	0	0	+	0	0	0	0	0	+	0	0	0	0	+
l̠	0	0	0	0	+	0	-	0	0	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+
l̠ʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+
l̥	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	-
l̩	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	+	0	+
l̪	+	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
l̪ʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
l̪ː	+	0	0	0	+	0	-	+	+	0	0	0	0	+	+	+	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
l̪̥	+	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	-
l̪̩	+	0	0	0	+	0	-	+	+	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
l̻	+	0	0	0	+	0	-	+	-	0	0	0	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
l̼	+	0	0	0	+	0	-	+	-	0	0	0	+	+	+	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
m	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
mʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	+	0	0	0	+
mʱ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	+	0	0	0	+
mʲ	-	0	0	0	+	0	-	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
mʷ	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	+
mʷː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	0	0	+
mː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
mˠ	0	0	+	0	+	0	-	0	0	+	0	+	+	+	0	0	-	0	0	+	0	0	0	-	0	+	0	0	0	0	+
mˤː	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	+	0	0	+	+	0	0	0	-	0	+	0	0	0	0	+
m̥	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	-
m̩	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	+	0	+
n	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
nʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
nː	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
nˤ	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	0	+
n̥	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	-
n̩	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	0	+
n̪	+	0	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
n̪ˠ	+	0	+	0	+	0	-	+	+	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	0	+	+
n̻	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
n̼	+	0	0	0	+	0	-	+	-	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
o	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
oː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
oˤ	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	+	+	0	0	0	+	0	+	0	0	+	+	+
õ	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
õː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ŏ	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	-	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
o̤	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	+	0	+	+	+
o̥	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	-
o̯	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	-	+	+
p	0	0	0	0	+	0	-	0	0	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
pf	+	-	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	0
pfʰ	+	-	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	+	+	0	0	0
pfʼ	+	-	0	0	+	+	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	0
pɸ	0	-	0	0	+	0	-	0	0	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	+	0	0	0
pʰ	0	0	0	0	+	0	-	0	0	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	0
pʰʲ	-	0	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	+	0	0	0	0
pʰː	0	0	0	0	+	0	-	0	0	0	0	0	+	0	0	+	0	0	0	+	0	0	0	-	0	-	+	0	0	0	0
pʲ	-	0	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
pʷ	0	0	0	0	+	0	-	0	0	0	0	0	+	0	0	0	0	0	0	+	0	0	0	+	0	-	0	0	0	0	0
pʼ	0	0	0	0	+	+	-	0	0	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
pː	0	0	0	0	+	0	-	0	0	0	0	0	+	0	0	+	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
pˠ	0	0	+	0	+	0	-	0	0	+	0	+	+	0	0	0	-	0	0	+	0	0	0	-	0	-	0	0	0	0	0
p̪	+	0	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
p̬	0	0	0	0	+	0	-	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
q	0	0	+	0	+	0	-	0	0	+	0	-	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
qʰ	0	0	+	0	+	0	-	0	0	+	0	-	0	0	0	0	-	0	0	+	0	0	0	0	0	-	+	0	0	0	0
qʷ	0	0	+	0	+	0	-	0	0	+	0	-	+	0	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
qʷʰ	0	0	+	0	+	0	-	0	0	+	0	-	+	0	0	0	-	0	0	+	0	0	0	+	0	-	+	0	0	0	0
qʼ	0	0	+	0	+	+	-	0	0	+	0	-	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
qʼʷ	0	0	+	0	+	+	-	0	0	+	0	-	+	0	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
qχ	0	-	+	0	+	0	-	0	0	+	0	-	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	0
r	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
