Grapheme	anterior	approximant	back	click	cons	constricted	continuant	coronal	distributed	dorsal	front	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
rʲ	-	+	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
rː	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+
rˤ	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	0	+
rˤː	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	0	+
r̃	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	0	0	+
r̥	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	-
r̩	+	+	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	0	+
r̪	+	+	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
r̪ː	+	+	0	0	+	0	+	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
r̪ˤ	+	+	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	+	+
r̪̥	+	+	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	-
r̼	+	+	0	0	+	0	+	+	-	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	+	0	0	0	0	+
s	+	0	0	0	+	0	+	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	0
sʲ	-	0	0	0	+	0	+	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	0
sʼ	+	0	0	0	+	+	+	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	0
sː	+	0	0	0	+	0	+	+	-	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	+	-	0	0	0	0	0
sˠ	+	0	+	0	+	0	+	+	-	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	+	-	0	0	0	0	0
s̩	+	0	0	0	+	0	+	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	+	0	0
s̪	+	0	0	0	+	0	+	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	+	0
s̪ʲ	-	0	0	0	+	0	+	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	+	0
s̪ʼ	+	0	0	0	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	+	0
s̪ˠ	+	0	+	0	+	0	+	+	+	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	+	-	0	0	0	+	0
s̬	+	0	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	+
s̻	+	0	0	0	+	0	+	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	0
t	+	0	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
ts	+	-	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	0
tsʰ	+	-	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	+	+	0	0	0
tsʲ	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	0
tsʼ	+	-	0	0	+	+	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	0
tsː	+	-	0	0	+	0	-	+	-	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	0	0
ts̪	+	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	+	0
ts̪ʰ	+	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	+	0	+	0
ts̪ʲ	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	+	0
ts̪ʼ	+	-	0	0	+	+	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	+	0
ts̪ː	+	-	0	0	+	0	-	+	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	+	-	0	+	0	+	0
tɕ	0	-	-	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	+	-	0	+	0	+	0
tɕʰ	0	-	-	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	+	-	+	+	0	+	0
tɕː	0	-	-	0	+	0	-	0	0	+	0	+	0	0	0	+	-	0	0	+	0	0	0	0	+	-	0	+	0	+	0
tɬ	+	-	0	0	+	0	-	+	-	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	0
tɬʰ	+	-	0	0	+	0	-	+	-	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	+	+	0	0	0
tɬʼ	+	-	0	0	+	+	-	+	-	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	0
tɬ̪	+	-	0	0	+	0	-	+	+	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	0
tɬ̪ʰ	+	-	0	0	+	0	-	+	+	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	+	+	0	+	0
tɬ̪ʼ	+	-	0	0	+	+	-	+	+	0	0	0	0	0	+	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	0
tʃ	0	-	0	0	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	0
tʃʰ	0	-	0	0	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	+	+	0	0	0
tʃʲ	-	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	0
tʃʷ	0	-	0	0	+	0	-	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	+	+	-	0	+	0	0	0
tʃʼ	0	-	0	0	+	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	0	+	0	0	0
tʃʼː	0	-	0	0	+	+	-	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	+	-	0	+	0	0	0
tʃː	0	-	0	0	+	0	-	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	+	-	0	+	0	0	0
tʰ	+	0	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	0
tʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
tʲʰ	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	0
tʷ	+	0	0	0	+	0	-	+	-	0	0	0	+	0	0	0	0	0	0	+	0	0	0	+	0	-	0	0	0	0	0
tʷʰ	+	0	0	0	+	0	-	+	-	0	0	0	+	0	0	0	0	0	0	+	0	0	0	+	0	-	+	0	0	0	0
tʼ	+	0	0	0	+	+	-	+	-	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
tː	+	0	0	0	+	0	-	+	-	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	0	0
tˤ	+	0	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	0	+	+	0	0	0	0	0	-	0	0	0	0	0
t̠	0	0	0	0	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0
t̪	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	0
t̪ʰ	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	+	0
t̪ʰʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	+	0
t̪ʰː	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	-	+	0	0	+	0
t̪ʲ	-	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	0
t̪ʷ	+	0	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	+	0	-	0	0	0	+	0
t̪ʷʰ	+	0	0	0	+	0	-	+	+	0	0	0	+	0	0	0	0	0	0	+	0	0	0	+	0	-	+	0	0	+	0
t̪ʼ	+	0	0	0	+	+	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	0
t̪ː	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	+	0
t̪ˠ	+	0	+	0	+	0	-	+	+	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	+	0
t̪ˤ	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	+	+	0	0	0	0	0	-	0	0	0	+	0
t̪ⁿ	+	0	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	+	0
t̬	+	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
t̼	+	0	0	0	+	0	-	+	-	0	0	0	+	0	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	0
tθ	+	-	0	0	+	0	-	+	+	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	+	0
tⁿ	+	0	0	0	+	0	-	+	-	0	0	0	0	0	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	0
u	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
uː	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
ũ	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ũː	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ṳ	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	0	0	0	0	+	0	0	0	+	0	+	+	0	+	+	+
u̥	-	+	+	0	-	0	+	0	0	+	0	+	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	-
v	+	0	0	0	+	0	+	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
vʲ	-	0	0	0	+	0	+	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
vː	+	0	0	0	+	0	+	+	+	0	0	0	+	+	0	+	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
v̥	+	0	0	0	+	0	+	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	-
v̩	+	0	0	0	+	0	+	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	+	0	+
w	0	+	+	0	-	0	+	0	0	+	0	+	+	0	-	0	-	-	0	+	0	0	0	+	0	+	0	0	0	0	0
wː	0	0	0	0	-	0	+	0	0	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	0	+	0	0	0	0	+
w̃	0	0	0	0	-	0	+	0	0	0	0	0	0	+	0	0	0	+	0	0	0	0	0	0	0	+	0	0	0	0	+
x	0	0	+	0	+	0	+	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
xʲ	-	0	+	0	+	0	+	+	+	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
xʷ	0	0	+	0	+	0	+	0	0	+	0	+	+	0	0	0	-	0	0	+	0	0	0	+	0	-	0	0	0	0	0
xʼ	0	0	+	0	+	+	+	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	0
y	-	+	0	0	-	0	+	0	0	+	+	+	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
yː	-	+	0	0	-	0	+	0	0	+	+	+	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
ỹ	-	+	0	0	-	0	+	0	0	+	+	+	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ỹː	-	+	0	0	-	0	+	0	0	+	+	+	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
z	+	0	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	+
zʲ	-	0	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	+
z̥	+	0	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	0	-
z̩	+	0	0	0	+	0	+	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	+	0	+
z̪	+	0	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	+	+
z̪̥	+	0	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	0	0	+	-
æ	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	-	+
æː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	0	0	+	0	0	0	0	0	+	0	0	+	-	+
æ̃	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	0	+	+	0	+	0	0	0	0	0	+	0	0	+	-	+
æ̃ː	-	+	0	0	-	0	+	0	0	+	+	0	0	+	0	+	+	+	0	+	0	0	0	0	0	+	0	0	+	-	+
ð	+	0	0	0	+	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
ðː	+	0	0	0	+	0	+	+	+	0	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	-	0	0	0	+	+
ð̞	+	0	0	0	-	0	+	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	0	+	+
ð̼	+	0	0	0	+	0	+	+	-	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	-	0	0	0	0	+
ø	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
øː	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	+	+
ø̃	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ø̃ː	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ħ	0	-	0	0	+	0	+	0	0	0	0	0	0	+	0	0	0	0	+	+	0	0	0	0	0	-	0	-	0	0	-
ŋ	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	0	0	+
ŋǀ	+	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	+	+
ŋǁ	0	-	0	+	+	0	-	0	0	0	0	0	0	+	+	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	+
ŋǂ	-	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	+
ŋǃ	+	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	+
ŋǃǃ	-	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	+
ŋʘ	0	-	0	+	+	0	-	0	0	0	0	0	+	+	0	0	0	+	0	+	0	0	0	-	0	-	0	0	0	0	+
ŋʷ	0	0	+	0	+	0	-	0	0	+	0	+	+	+	0	0	-	0	0	+	0	0	0	+	0	+	0	0	0	0	+
ŋː	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	+	-	0	0	+	0	0	0	0	0	+	0	0	0	0	+
ŋ̊	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	0	0	-
ŋ̊ǀ	+	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	+	-
ŋ̊ǁ	0	-	0	+	+	0	-	0	0	0	0	0	0	+	+	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
ŋ̊ǂ	-	-	0	+	+	0	-	+	+	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
ŋ̊ǃ	+	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
ŋ̊ǃǃ	-	-	0	+	+	0	-	+	-	0	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	-	0	0	0	0	-
ŋ̊ʘ	0	-	0	+	+	0	-	0	0	0	0	0	+	+	0	0	0	+	0	+	0	0	0	-	0	-	0	0	0	0	-
ŋ̍	0	0	+	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	+	0	+
œ	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
œː	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
œ̃	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
œ̃ː	-	+	0	0	-	0	+	0	0	+	+	0	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ǀ	+	-	0	+	+	0	-	+	+	0	0	0	0	0	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	+	0
ǁ	0	-	0	+	+	0	-	0	0	0	0	0	0	0	+	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	0
ǂ	-	-	0	+	+	0	-	+	+	0	0	0	0	0	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	0
ǃ	+	-	0	+	+	0	-	+	-	0	0	0	0	0	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	0
ǃǃ	-	-	0	+	+	0	-	+	-	0	0	0	0	0	0	0	0	-	0	+	0	0	0	0	0	-	0	0	0	0	0
ȡ	0	0	-	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	+	+
ȴ	0	0	-	0	+	0	-	0	0	+	0	+	0	+	+	0	-	0	0	+	0	0	0	0	0	+	0	0	0	+	+
ȵ	0	0	-	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	0	+	+
ȵ̊	0	0	-	0	+	0	-	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	+	0	0	0	+	-
ȶ	0	0	-	0	+	0	-	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	+	0
ɐ	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	-	+
ɐː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	+	0	0	+	0	0	0	0	0	+	0	0	+	-	+
ɐ̃	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	+	+	0	+	0	0	0	0	0	+	0	0	+	-	+
ɐ̃ː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	+	+	0	+	0	0	0	0	0	+	0	0	+	-	+
ɐ̯	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	-	-	+
ɑ	-	+	+	0	-	0	+	0	0	+	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ɑː	-	+	+	0	-	0	+	0	0	+	0	0	0	+	0	+	+	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ɑ̃	-	+	+	0	-	0	+	0	0	+	0	0	0	+	0	0	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ɑ̃ː	-	+	+	0	-	0	+	0	0	+	0	0	0	+	0	+	+	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ɒ	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	+	0	0	+	0	0	0	+	0	+	0	0	+	+	+
ɒː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	+	0	0	+	0	0	0	+	0	+	0	0	+	+	+
ɒ̃	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	+	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ɒ̃ː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	+	+	0	+	0	0	0	+	0	+	0	0	+	+	+
ɓ	0	0	0	0	0	+	0	0	0	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	0	0	0	0	0	+
ɓʲ	-	0	0	0	0	+	0	+	+	0	0	0	+	+	0	0	0	0	0	+	0	0	0	-	0	0	0	0	0	0	+
ɔ	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɔː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɔ̃	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɔ̃ː	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɔ̯	-	+	+	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	-	-	+
ɕ	0	0	-	0	+	0	+	0	0	+	0	+	0	0	0	0	-	0	0	+	0	0	0	0	+	-	0	0	0	+	0
ɖ	-	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	0	0	0	+
ɖʐ	-	-	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	+	-	0	+	0	0	+
ɖʱ	-	0	0	0	+	0	-	+	-	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	+	0	0	0	+
ɗ	+	0	0	0	0	+	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	+	+
ɗ̥	+	0	0	0	0	+	0	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	+	-
ɘ	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ɘː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	+	+	+
ɘ̃	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ɘ̃ː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	0	+	0	+	0	0	0	0	0	+	0	0	+	+	+
ə	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	-	+
ɜ	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	+	0	0	+	0	+
ɜː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	0	0	0	+	0	0	0	0	0	+	0	0	+	0	+
ɜ̃	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	0	0	+	0	+	0	0	0	0	0	+	0	0	+	0	+
ɜ̃ː	-	+	0	0	-	0	+	0	0	+	0	0	0	+	0	+	0	+	0	+	0	0	0	0	0	+	0	0	+	0	+
ɞ	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	0	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞː	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̃	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	0	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̃ː	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	+	0	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̞	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	0	+	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̞ː	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	+	+	0	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̞̃	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	0	+	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɞ̞̃ː	-	+	0	0	-	0	+	0	0	+	0	0	+	+	0	+	+	+	0	+	0	0	0	+	0	+	0	0	+	-	+
ɟ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	-	0	0	+
ɟʝ	-	-	0	0	+	0	-	+	+	0	0	0	0	+	0	0	0	0	0	+	0	0	0	0	0	-	0	+	0	0	+
ɠ	0	0	+	0	0	+	0	0	0	+	0	+	0	+	0	0	-	0	0	+	0	0	0	0	0	0	0	0	0	0	+
ɢ	0	0	+	0	+	0	-	0	0	+	0	-	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	0	0	0	+
ɢʁ	0	-	+	0	+	0	-	0	0	+	0	-	0	+	0	0	-	0	0	+	0	0	0	0	0	-	0	+	0	0	+
