Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
a	unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	-	+	-	-	+	+	+
aː	long unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	+	-	0	+	0	0	0	0	-	+	-	-	+	+	+
ã	nasalized unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	+	0	+	0	0	0	0	-	+	-	-	+	+	+
ãː	long nasalized unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	+	+	0	+	0	0	0	0	-	+	-	-	+	+	+
ă	ultra-short unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	-	+	-	0	+	0	0	0	0	-	+	-	-	+	+	+
ḁ	devoiced unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	-	+	-	-	+	+	-
a̯	non-syllabic unrounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	+	-	0	+	0	0	0	0	-	+	-	-	-	+	+
b	voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
bv	voiced labio-dental affricate consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	+	-	-	-	-	+
bʰ	aspirated voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	+	0	-	-	+
bʰː	aspirated long voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	0	+	0	0	0	-	0	-	+	0	-	-	+
bʱ	breathy voiced bilabial stop consonant	bʰ	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	+	0	-	-	+
bʱː	long breathy voiced bilabial stop consonant	bʰː	0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	0	+	0	0	0	-	0	-	+	0	-	-	+
bʲ	palatalized voiced bilabial stop consonant		-	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
bʷ	labialized voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	+	0	-	-	0	-	-	+
bʷː	labialized long voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	0	+	0	0	0	+	0	-	-	0	-	-	+
bː	long voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
bˠ	velarized voiced bilabial stop consonant		0	-	+	-	+	-	-	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	-	0	-	-	0	-	-	+
bˤː	pharyngealized long voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	-	+	+	0	0	0	-	0	-	-	0	-	-	+
b̥	devoiced voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	-
b̥ʰ	aspirated devoiced voiced bilabial stop consonant	pʰ	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	+	0	-	-	-
b̪	voiced labio-dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
bβ	voiced bilabial affricate consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	+	-	0	-	-	+
bⁿ	with-nasal-release voiced bilabial stop consonant	m	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	+
c	voiceless palatal stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	-
cç	voiceless palatal affricate consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	+	0	-	-	-	0
cçʰ	aspirated voiceless palatal affricate consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	+	-	-	-	-
cʰ	aspirated voiceless palatal stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
cʼ	voiceless palatal ejective stop consonant		-	-	0	-	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	-
cː	long voiceless palatal stop consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	+	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ç	voiceless palatal sibilant fricative consonant		-	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	+	-	-	-
d	voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
dz	voiced alveolar sibilant affricate consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	-	+
dzː	long voiced alveolar sibilant affricate consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	+	0	+	0	0	0	0	+	+	-	-	-	-	+
dz̪	voiced dental sibilant affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	+	+
dz̪ː	long voiced dental sibilant affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	+	0	+	0	0	0	0	+	+	-	-	-	+	+
dð	voiced dental affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	-	-	-	+	+
dɮ	voiced alveolar lateral affricate consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	-	-	-	-	+
dʑ	voiced alveolo-palatal sibilant affricate consonant		-	-	-	-	+	-	-	+	-	+	+	-	+	-	0	-	+	0	+	0	0	0	0	+	+	-	-	-	+	+
dʑː	long voiced alveolo-palatal sibilant affricate consonant		-	-	-	-	+	-	-	+	-	+	+	-	+	-	+	-	+	0	+	0	0	0	0	+	+	-	-	-	+	+
dʒ	voiced post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	-	0	0	0	+	-	0	0	+	0	-	0	0	0	0	+	+	-	-	-	-	+
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	-	0	0	0	+	-	0	0	+	0	-	0	0	0	0	+	+	+	-	-	-	+
dʒʲ	palatalized voiced post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	+	0	0	0	+	-	0	0	+	0	-	0	0	0	0	+	+	-	-	-	-	+
dʒʷ	labialized voiced post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	-	0	0	+	+	-	0	0	+	0	-	0	0	0	+	+	+	-	-	-	-	+
dʰ	aspirated voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	+
dʰː	aspirated long voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	-	+
dʱ	breathy voiced alveolar stop consonant	dʰ	+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	+
dʱː	long breathy voiced alveolar stop consonant	dʰː	+	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	-	+
dʲ	palatalized voiced alveolar stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
dː	long voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
dːʒ	long voiced post-alveolar sibilant affricate consonant		-	-	0	-	+	-	-	+	-	0	0	0	+	-	+	0	+	0	-	0	0	0	0	+	+	-	-	-	-	+
dˤ	pharyngealized voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	+	+	0	0	0	0	-	-	-	-	-	-	+
d̠	voiced post-alveolar stop consonant		0	-	0	-	+	-	-	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	-	-	0	-	-	+
d̥	devoiced voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	-
d̥ⁿ	with-nasal-release devoiced voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	-
d̪	voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	+
d̪ɮ	voiced dental lateral affricate consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	+	0	0	+	0	+	0	0	0	0	-	+	-	-	-	+	+
d̪ʱ	breathy voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	+	+
d̪ʱː	long breathy voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	+	+
d̪ʲ	palatalized voiced dental stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	+
d̪ː	long voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	-	-	-	+	+
d̪ˠ	velarized voiced dental stop consonant		+	-	+	-	+	-	-	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	-	-	-	-	+	+
d̪ˤ	pharyngealized voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	+	+	0	0	0	0	-	-	-	-	-	+	+
d̪̥ⁿ	with-nasal-release devoiced voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	+	-
d̪ⁿ	with-nasal-release voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	+	+
d̼	voiced linguolabial stop consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
dⁿ	with-nasal-release voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	-	-	-	+
e	unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	+	+
eː	long unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	-	+	-	-	+	+	+
ẽ	nasalized unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	-	+	-	-	+	+	+
ẽː	long nasalized unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	+	-	+	0	+	0	0	0	0	-	+	-	-	+	+	+
ĕ	ultra-short unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	-	-	-	0	+	0	0	0	0	-	+	-	-	+	+	+
e̤	breathy unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	-	+	+	-	+	+	+
e̥	devoiced unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	+	-
e̯	non-syllabic unrounded close-mid front vowel		+	+	-	-	-	-	+	+	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	-	+	+
f	voiceless labio-dental fricative consonant		+	-	0	-	+	0	+	+	+	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	+	-	-	0
fʰ	aspirated voiceless labio-dental fricative consonant		+	-	0	-	+	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	+	+	-	-	-
fʲ	palatalized voiceless labio-dental fricative consonant		-	-	0	-	+	0	+	+	+	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	+	-	-	0
fʷː	labialized long voiceless labio-dental fricative consonant		+	-	0	-	+	0	+	+	+	-	0	+	-	-	+	0	-	0	+	0	0	0	+	-	-	0	+	-	-	0
fʼ	voiceless labio-dental ejective fricative consonant		+	-	0	-	+	+	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	+	-	-	-
fː	long voiceless labio-dental fricative consonant		+	-	0	-	+	0	+	+	+	-	0	+	-	-	+	0	-	0	+	0	0	0	-	-	-	0	+	-	-	0
fˠ	velarized voiceless labio-dental fricative consonant		+	-	+	-	+	0	+	+	+	+	+	+	-	-	0	-	-	0	+	0	0	0	-	-	-	0	+	-	-	0
g	voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
gǀ	voiced dental click consonant		+	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	+	+
gǁ	voiced lateral click consonant		0	-	0	+	+	-	-	-	0	-	0	-	+	+	0	0	-	0	+	0	0	0	0	0	-	-	0	-	-	+
gǂ	voiced palatal click consonant		-	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
gǃ	voiced alveolar click consonant		+	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
gǃǃ	voiced retroflex click consonant		-	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
gɣ	voiced velar affricate consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	-	-	+
gʘ	voiced labial click consonant		0	-	0	+	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
gʰ	aspirated voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	+
gʱ	breathy voiced velar stop consonant	gʰ	0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	+
gʲ	palatalized voiced velar stop consonant		-	-	+	-	+	-	-	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	-	-	-	-	-	+
gʷ	labialized voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	-	-	0	-	-	+
gː	long voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	+	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
g̊	devoiced voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
g̊ʰ	aspirated devoiced voiced velar stop consonant	kʰ	0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	-
h	voiceless glottal fricative consonant		0	-	0	-	-	-	+	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	-	+	0	-	-	-
h̃	nasalized voiceless glottal fricative consonant		0	-	0	-	-	0	+	0	0	0	0	0	-	-	0	0	+	0	-	0	0	0	0	0	-	0	0	-	-	0
i	unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	+	+
iː	long unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	+	-	-	0	+	0	0	0	0	-	+	-	-	+	+	+
ĩ	nasalized unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	-	+	-	-	+	+	+
ĩː	long nasalized unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	+	-	+	0	+	0	0	0	0	-	+	-	-	+	+	+
i̤	breathy unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	+	-	+	+	+
i̥	devoiced unrounded close front vowel		+	+	-	-	-	-	+	+	+	+	+	-	+	-	0	-	-	0	+	0	0	0	0	-	+	-	-	+	+	-
j	voiced palatal approximant consonant		-	-	0	0	-	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
jː	long voiced palatal approximant consonant		-	-	0	0	-	-	+	+	+	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
j̃	nasalized voiced palatal approximant consonant		-	-	0	0	-	-	+	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	+	-	-	-	-	+
j̊	devoiced voiced palatal approximant consonant		-	-	0	0	-	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
k	voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	-	0	-	-	0	+	0	0	0	0	0	-	0	0	-	-	0
kx	voiceless velar affricate consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	-	0	-	+	0	+	0	0	0	0	0	+	0	0	-	-	0
kʟ̝̊	voiceless velar lateral affricate consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	+	0	-	+	0	+	0	0	0	0	0	+	0	0	-	-	0
kʟ̝̊ʼ	voiceless velar ejective lateral affricate consonant		0	-	+	-	+	+	-	-	0	+	+	-	+	+	0	-	+	0	+	0	0	0	0	0	+	-	0	-	-	-
kʰ	aspirated voiceless velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	+	0	-	-	-
kʲ	palatalized voiceless velar stop consonant		-	-	+	-	+	0	-	+	+	+	+	-	-	-	0	-	-	0	+	0	0	0	0	-	-	0	-	-	-	0
kʷ	labialized voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	+	-	-	0	-	-	0	+	0	0	0	+	0	-	0	0	-	-	0
kʷʰ	labialized aspirated voiceless velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	-	+	0	-	-	-
kʷː	labialized long voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	+	-	-	+	-	-	0	+	0	0	0	+	0	-	0	0	-	-	0
kʼ	voiceless velar ejective stop consonant		0	-	+	-	+	+	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
kʼʷ	labialized voiceless velar ejective stop consonant		0	-	+	-	+	+	-	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	-	-	0	-	-	-
kː	long voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	-	+	-	-	0	+	0	0	0	0	0	-	0	0	-	-	0
k̬	revoiced voiced velar stop consonant	g	0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
l	voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
lʱ	breathy voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	+	-	-	-	+
lʲ	palatalized voiced alveolar lateral approximant consonant		-	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
lː	long voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	+	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
lˠ	velarized voiced alveolar lateral approximant consonant		+	+	+	-	+	-	-	+	-	+	+	-	+	+	0	-	-	0	+	0	0	0	0	-	+	-	-	-	-	+
l̠	voiced post-alveolar lateral approximant consonant		0	+	0	-	+	-	-	0	0	0	0	0	+	+	0	0	-	0	-	0	0	0	0	0	+	-	0	-	-	+
l̠ʲ	palatalized voiced post-alveolar lateral approximant consonant		-	+	0	-	+	-	-	+	+	0	0	0	+	+	0	0	-	0	-	0	0	0	0	-	+	-	-	-	-	+
l̥	devoiced voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
l̩	syllabic voiced alveolar lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
l̪	voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪ʲ	palatalized voiced dental lateral approximant consonant		-	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪ː	long voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	+	0	-	0	+	0	0	0	0	-	+	-	-	-	+	+
l̪̥	devoiced voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	+	-
l̪̩	syllabic voiced dental lateral approximant consonant		+	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	+	+	+
l̻	voiced laminal alveolar lateral approximant consonant	l	+	+	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
l̼	voiced linguolabial lateral approximant consonant		+	+	0	-	+	-	-	+	-	-	0	+	+	+	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
m	voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	+
mʰ	aspirated voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	+	0	-	-	+
mʱ	breathy voiced bilabial nasal consonant	mʰ	0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	+	0	-	-	+
mʲ	palatalized voiced bilabial nasal consonant		-	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	+
mʷ	labialized voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	+	0	-	-	0	-	-	+
mʷː	labialized long voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	+	0	+	0	0	0	+	0	-	-	0	-	-	+
