Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
ɰ	voiced velar approximant consonant		0	+	+	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ɱ	voiced labio-dental nasal consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	+
ɱ̊	devoiced voiced labio-dental nasal consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	-
ɲ	voiced palatal nasal consonant		-	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	+	0	+	0	0	0	0	-	-	0	+	-	-	0
ɲː	long voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	+	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
ɲ̊	devoiced voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	-
ɲ̍	syllabic voiced palatal nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	+	-	+
ɳ	voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
ɳ̊	devoiced voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	-
ɳ̍	syllabic voiced retroflex nasal consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	+	-	+
ɴ	voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	+
ɴ̥	devoiced voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	-	-	-
ɴ̩	syllabic voiced uvular nasal consonant		0	-	+	-	+	-	-	-	0	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	-	-	0	+	-	+
ɵ	rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵː	long rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵ̃	nasalized rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɵ̃ː	long nasalized rounded close-mid central vowel		-	+	-	-	-	-	+	-	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ɶ	rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	+	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶː	long rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	+	-	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶ̃	nasalized rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	0	+	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ɶ̃ː	long nasalized rounded open front vowel		+	+	-	-	-	-	+	+	+	+	-	+	+	-	+	+	+	0	+	0	0	0	+	-	+	-	-	+	+	+
ɸ	voiceless bilabial fricative consonant		0	-	0	-	+	0	+	-	0	-	0	+	-	-	0	0	-	0	+	0	0	0	-	0	-	0	0	-	-	0
ɹ	voiced alveolar approximant consonant		+	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɹ̠	voiced post-alveolar approximant consonant		0	-	0	0	-	-	+	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	+	-	0	-	-	+
ɹ̩	syllabic voiced alveolar approximant consonant		+	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	+	-	+
ɺ	voiced alveolar lateral tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɻ	voiced retroflex approximant consonant		-	-	0	0	-	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɽ	voiced retroflex tap consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɽʱ	breathy voiced retroflex tap consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	+	-	-	-	+
ɾ	voiced alveolar tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	+
ɾ̥	devoiced voiced alveolar tap consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
ɾ̼	voiced linguolabial tap consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
ɿ	unrounded close with-frication back vowel		-	+	+	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ʀ	voiced uvular trill consonant		0	+	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʀ̥	devoiced voiced uvular trill consonant		0	+	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	-
ʁ	voiced uvular fricative consonant		0	-	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ʁ̞	voiced uvular approximant consonant		0	-	+	0	-	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʁ̥	devoiced voiced uvular fricative consonant		0	-	+	-	+	-	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
ʂ	voiceless retroflex sibilant fricative consonant		-	-	0	-	+	0	+	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	+	-	0	+	-	-	0
ʃ	voiceless post-alveolar sibilant fricative consonant		-	-	0	-	+	0	+	+	-	0	0	0	-	-	0	0	-	0	-	0	0	0	0	+	-	0	+	-	-	0
ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant		-	-	0	-	+	0	+	+	+	0	0	0	-	-	0	0	-	0	-	0	0	0	0	+	-	0	+	-	-	0
ʃʼ	voiceless post-alveolar ejective sibilant fricative consonant		-	-	0	-	+	+	+	+	-	0	0	0	+	-	0	0	-	0	-	0	0	0	0	+	-	-	+	-	-	-
ʄ	voiced palatal implosive consonant		-	-	0	0	+	+	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
ʅ	unrounded close with-frication central vowel		-	+	-	0	-	-	+	-	0	+	+	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	+	+
ʇ̼	voiced linguolabial click consonant		+	-	0	+	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	-	-	-	-	-	+
ʈ	voiceless retroflex stop consonant		-	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	-	-	-	0
ʈʂ	voiceless retroflex sibilant affricate consonant		-	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	+	0	+	0	0	0	0	+	+	0	-	-	-	0
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	+	-	-	-	-
ʈʂː	long voiced retroflex sibilant affricate consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	+	0	+	0	0	0	0	+	+	-	-	-	-	+
ʈʂ’	voiceless retroflex ejective sibilant affricate consonant		-	-	0	-	+	+	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	+	+	-	-	-	-	-
ʈʰ	aspirated voiceless retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
ʈʰː	aspirated long voiceless retroflex stop consonant		-	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	-	0	+	0	0	0	0	-	-	+	-	-	-	-
ʉ	rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉː	long rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉ̃	nasalized rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ʉ̃ː	long nasalized rounded close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ʊ	rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊː	long rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̃	nasalized rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̃ː	long nasalized rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̈	rounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̈ː	long rounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̈̃	nasalized rounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̈̃ː	long nasalized rounded near-close central vowel		-	+	-	-	-	-	+	-	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	-	+
ʊ̥	devoiced rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	-	-
ʊ̯	non-syllabic rounded near-close near-back vowel		-	+	+	-	-	-	+	-	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	-	-	+
ʋ	voiced labio-dental approximant consonant		+	-	0	0	-	-	+	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
ʌ	unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ʌː	long unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ʌ̃	nasalized unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ʌ̃ː	long nasalized unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	+	0	+	0	0	0	0	0	+	-	0	+	-	+
ʌ̆	ultra-short unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	-	-	-	0	+	0	0	0	0	0	+	-	0	+	-	+
ʌ̤	breathy unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	+	+	0	+	-	+
ʌ̤̃	nasalized breathy unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	0	-	+	0	+	0	0	0	0	0	+	+	0	+	-	+
ʌ̯ː	long non-syllabic unrounded open-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʍ	voiceless labio-velar approximant consonant		0	-	0	0	-	0	+	0	0	0	0	0	-	-	0	0	-	0	-	0	0	0	0	0	+	0	0	-	-	0
ʎ	voiced palatal lateral approximant consonant		-	+	0	-	+	0	-	+	+	-	0	-	-	+	0	0	-	0	+	0	0	0	0	-	+	0	-	-	-	0
ʎ̥	devoiced voiced palatal lateral approximant consonant		-	+	0	-	+	-	-	+	+	-	0	-	+	+	0	0	-	0	+	0	0	0	0	-	+	-	-	-	-	-
ʏ	rounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	0	-	-	0	+	0	0	0	+	-	+	-	-	+	-	+
ʏː	long rounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	+	-	-	0	+	0	0	0	+	-	+	-	-	+	-	+
ʏ̃	nasalized rounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	0	-	+	0	+	0	0	0	+	-	+	-	-	+	-	+
ʏ̃ː	long nasalized rounded near-close near-front vowel		+	+	-	-	-	-	+	+	+	+	+	+	+	-	+	-	+	0	+	0	0	0	+	-	+	-	-	+	-	+
ʐ	voiced retroflex sibilant fricative consonant		-	-	0	-	+	-	+	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	+	-	-	+	-	-	+
ʑ	voiced alveolo-palatal sibilant fricative consonant		-	-	-	-	+	-	+	+	-	+	+	-	+	-	0	-	-	0	+	0	0	0	0	+	-	-	+	-	+	+
ʒ	voiced post-alveolar sibilant fricative consonant		-	-	0	-	+	-	+	+	-	0	0	0	+	-	0	0	-	0	-	0	0	0	0	+	-	-	+	-	-	+
ʒ̊	devoiced voiced post-alveolar sibilant fricative consonant		-	-	0	-	+	-	+	+	-	0	0	0	+	-	0	0	-	0	-	0	0	0	0	+	-	-	+	-	-	-
ʒ̍	syllabic voiced post-alveolar sibilant fricative consonant		-	-	0	-	+	-	+	+	-	0	0	0	+	-	0	0	-	0	-	0	0	0	0	+	-	-	+	+	-	+
ʔ	voiceless glottal stop consonant		0	-	0	-	-	+	-	0	0	0	0	0	+	-	0	0	-	0	-	0	0	0	0	0	-	-	0	-	-	-
ʔh	voiceless glottal affricate consonant		0	-	0	-	-	0	-	0	0	0	0	0	-	-	0	0	+	0	-	0	0	0	0	0	-	0	0	-	-	0
ʔʲ	palatalized voiceless glottal stop consonant		-	-	0	-	-	0	-	+	+	0	0	0	-	-	0	0	-	0	-	0	0	0	0	-	-	0	-	-	-	0
ʔʷ	labialized voiceless glottal stop consonant		0	-	0	-	-	0	-	0	0	0	0	+	-	-	0	0	-	0	-	0	0	0	+	0	-	0	0	-	-	0
ʕ	voiced pharyngeal fricative consonant		0	-	0	-	+	-	+	-	0	-	0	-	+	-	0	0	-	+	+	0	0	0	0	0	-	-	0	-	-	+
ʘ	voiceless labial click consonant		0	-	0	+	+	0	-	-	0	-	0	+	-	-	0	0	-	0	+	0	0	0	-	0	-	0	0	-	-	0
ʙ	voiced bilabial trill consonant		0	+	0	-	+	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	+	-	0	-	-	+
ʙ̥	devoiced voiced bilabial trill consonant		0	+	0	-	+	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	+	-	0	-	-	-
ʙ̩	syllabic voiced bilabial trill consonant		0	+	0	-	+	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	+	-	0	+	-	+
ʛ	voiced uvular implosive consonant		0	-	+	0	+	+	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	+
ʛ̥	voiceless uvular implosive consonant		0	-	+	0	+	+	-	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
ʜ	voiceless epiglottal fricative consonant		0	+	0	-	+	-	+	-	0	-	0	-	+	-	0	0	-	+	+	0	0	0	0	0	+	-	0	-	-	-
ʝ	voiced palatal fricative consonant		-	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	+	-	-	+
ʟ	voiced velar lateral approximant consonant		0	+	+	-	+	-	-	-	0	+	+	-	+	+	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	+
ʟ̥	devoiced voiced velar lateral approximant consonant		0	+	+	-	+	-	-	-	0	+	+	-	+	+	0	-	-	0	+	0	0	0	0	0	+	-	0	-	-	-
ʡ	voiceless epiglottal stop consonant		0	-	0	-	+	-	-	-	0	-	0	-	+	-	0	0	-	+	+	0	0	0	0	0	-	-	0	-	-	-
ʢ	voiced epiglottal fricative consonant		0	+	0	-	+	-	+	-	0	-	0	-	+	-	0	0	-	+	+	0	0	0	0	0	+	-	0	-	-	+
ʮ	rounded close with-frication back vowel		-	+	+	0	-	-	+	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʯ	rounded close with-frication central vowel		-	+	-	0	-	-	+	-	0	+	+	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
ʰk	pre-aspirated voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	-	0	-	-	0	+	+	0	0	0	0	-	0	0	-	-	0
ʰp	pre-aspirated voiceless bilabial stop consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	0	0	-	0	+	+	0	0	-	0	-	0	0	-	-	0
ʰt	pre-aspirated voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	+	0	0	0	-	-	0	-	-	-	0
ʰtʰ	pre-aspirated aspirated voiceless alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	+	0	0	0	-	-	+	-	-	-	-
ʰt̪	pre-aspirated voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	+	0	0	0	-	-	0	-	-	+	0
ʰt̪ʰ	pre-aspirated aspirated voiceless dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	+	0	0	0	-	-	+	-	-	+	-
ˀŋǀ	pre-glottalized voiced dental nasal-click consonant		+	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	+	0	0	-	-	-	-	-	+	+
ˀŋǁ	pre-glottalized voiced lateral nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	-	+	+	0	0	+	0	+	0	+	0	0	0	-	-	0	-	-	+
ˀŋǂ	pre-glottalized voiced palatal nasal-click consonant		-	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	+	0	0	-	-	-	-	-	-	+
ˀŋǃ	pre-glottalized voiced alveolar nasal-click consonant		+	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	+	0	0	-	-	-	-	-	-	+
ˀŋǃǃ	pre-glottalized voiced retroflex nasal-click consonant		-	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	+	0	0	-	-	-	-	-	-	+
ˀŋʘ	pre-glottalized voiced labial nasal-click consonant		0	-	0	+	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	+	0	-	0	-	-	0	-	-	+
β	voiced bilabial fricative consonant		0	-	0	-	+	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	-	-	0	-	-	+
βʷ	labialized voiced bilabial fricative consonant		0	-	0	-	+	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	+	0	-	-	0	-	-	+
β̞	voiced bilabial approximant consonant		0	-	0	0	-	-	+	-	0	-	0	+	+	-	0	0	-	0	+	0	0	0	-	0	+	-	0	-	-	+
θ	voiceless dental fricative consonant		+	-	0	-	+	0	+	+	+	-	0	-	-	-	0	0	-	0	+	0	0	0	0	-	-	0	+	-	+	0
θː	long voiceless dental fricative consonant		+	-	0	-	+	0	+	+	+	-	0	-	-	-	+	0	-	0	+	0	0	0	0	-	-	0	+	-	+	0
θ̬	revoiced voiceless dental fricative consonant	ð	+	-	0	-	+	-	+	+	+	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	+	-	+	+
θ̼	voiceless linguolabial fricative consonant		+	-	0	-	+	0	+	+	-	-	0	+	-	-	0	0	-	0	+	0	0	0	-	-	-	0	+	-	-	0
χ	voiceless uvular fricative consonant		0	-	+	-	+	0	+	-	0	+	-	-	-	-	0	-	-	0	+	0	0	0	0	0	-	0	0	-	-	0
χʷ	labialized voiceless uvular fricative consonant		0	-	+	-	+	0	+	-	0	+	-	+	-	-	0	-	-	0	+	0	0	0	+	0	-	0	0	-	-	0
χʼ	voiceless uvular ejective fricative consonant		0	-	+	-	+	+	+	-	0	+	-	-	+	-	0	-	-	0	+	0	0	0	0	0	-	-	0	-	-	-
ᶑ	voiced retroflex implosive consonant		-	-	0	0	+	+	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	0	0	-	-	-	-	-	-	+
ⁿb	pre-nasalized voiced bilabial stop consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	+	-	0	-	-	0	-	-	+
ⁿd	pre-nasalized voiced alveolar stop consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	-	+
ⁿdʒ	pre-nasalized voiced post-alveolar affricate consonant		0	-	0	-	+	-	-	0	0	0	0	0	+	-	0	0	+	0	-	0	0	+	0	0	+	-	0	-	-	+
ⁿd̪	pre-nasalized voiced dental stop consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	+	+
ⁿd̼	pre-nasalized voiced linguolabial stop consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	-	0	+	0	0	+	-	-	-	-	-	-	-	+
ⁿg	pre-nasalized voiced velar stop consonant		0	-	+	-	+	-	-	-	0	+	+	-	+	-	0	-	-	0	+	0	0	+	0	0	-	-	0	-	-	+
ⁿgǀ	pre-nasalized voiced dental click consonant		+	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	+	+
ⁿgǁ	pre-nasalized voiced lateral click consonant		0	-	0	+	+	-	-	-	0	-	0	-	+	+	0	0	-	0	+	0	0	+	0	0	-	-	0	-	-	+
ⁿgǂ	pre-nasalized voiced palatal click consonant		-	-	0	+	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	-	+
ⁿgǃ	pre-nasalized voiced alveolar nasal-click consonant		+	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	+	0	-	-	-	-	-	-	+
ⁿgǃǃ	pre-nasalized voiced retroflex click consonant		-	-	0	+	+	-	-	+	-	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	-	+
ⁿgʘ	pre-nasalized voiced labial click consonant		0	-	0	+	+	-	-	-	0	-	0	+	+	-	0	0	-	0	+	0	0	+	-	0	-	-	0	-	-	+
ⁿk	pre-nasalized voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	-	-	-	0	-	-	0	+	0	0	+	0	0	-	0	0	-	-	0
ⁿkʷ	pre-nasalized labialized voiceless velar stop consonant		0	-	+	-	+	0	-	-	0	+	+	+	-	-	0	-	-	0	+	0	0	+	+	0	-	0	0	-	-	0
ⁿp	pre-nasalized voiceless bilabial stop consonant		0	-	0	-	+	0	-	-	0	-	0	+	-	-	0	0	-	0	+	0	0	+	-	0	-	0	0	-	-	0
ⁿt	pre-nasalized voiceless alveolar stop consonant		+	-	0	-	+	0	-	+	-	-	0	-	-	-	0	0	-	0	+	0	0	+	0	-	-	0	-	-	-	0
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant		-	-	0	-	+	0	-	+	-	0	0	0	-	-	0	0	+	0	-	0	0	+	0	+	+	0	-	-	-	0
ⁿt̪	pre-nasalized voiceless dental stop consonant		+	-	0	-	+	0	-	+	+	-	0	-	-	-	0	0	-	0	+	0	0	+	0	-	-	0	-	-	+	0
ⁿɟ	pre-nasalized voiced palatal stop consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	-	0	+	0	0	+	0	-	-	-	-	-	-	+
ⱱ	voiced labio-dental tap consonant		+	-	0	-	+	-	-	+	+	-	0	+	+	-	0	0	-	0	+	0	0	0	-	-	+	-	-	-	-	+
